"Date","Cash"
"2010-05-01",277
"2010-05-02",371
"2010-05-03",378
"2010-05-04",39
"2010-05-05",469
"2010-05-06",312
"2010-05-07",493
"2010-05-08",277
"2010-05-09",371
"2010-05-10",378
"2010-05-11",39
"2010-05-12",469
"2010-05-13",312
"2010-05-14",493
"2010-05-15",277
"2010-05-16",371
"2010-05-17",378
"2010-05-18",39
"2010-05-19",469
"2010-05-20",312
"2010-05-21",493
"2010-05-22",277
"2010-05-23",371
"2010-05-24",378
"2010-05-25",39
"2010-05-26",469
"2010-05-27",312
"2010-05-28",493
"2010-05-29",277
"2010-05-30",371
